chr,pos,snp,cases,pvalue,ratio,gene,phenotype,gwas,number
chr6,32587302,rs6457617,3812,0.03173,1.066,HLA-DQB1,Diseases of esophagus,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32581027,rs7774434,266,0.03215,1.235,HLA-DQB1,Atherosclerosis of native arteries of the extremities with ulceration or gangrene,Primary biliary cirrhosis,188
chr6,32581027,rs7774434,150,0.03215,1.291,HLA-DQB1,Peripheral autonomic neuropathy,Primary biliary cirrhosis,188
chr6,32581027,rs7774434,301,0.03245,1.205,HLA-DQB1,Other specified gastritis,Primary biliary cirrhosis,188
chr6,32581027,rs7774434,1743,0.03422,1.084,HLA-DQB1,Sleep disorders,Primary biliary cirrhosis,188
chr6,32591353,rs2647044,496,0.0344,1.216,HLA-DQB1,Retinal vascular changes and abnomalities,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,192,0.03542,1.284,HLA-DQB1,Unspecified osteomyelitis,"Pulmonary function, Type 1 diabetes",188
chr6,32588871,rs10484561,227,0.0358,1.329,HLA-DQB1,Plasma protein metabolism disorder,Follicular lymphoma,188
chr6,32588871,rs10484561,107,0.03634,1.48,HLA-DQB1,Congenital anomalies of urinary system,Follicular lymphoma,188
chr6,32587302,rs6457617,118,0.03704,1.315,HLA-DQB1,Chronic lymphocytic thyroiditis,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32588871,rs10484561,1449,0.03726,1.168,HLA-DQB1,Bronchitis,Follicular lymphoma,188
chr6,32588871,rs10484561,110,0.03753,1.471,HLA-DQB1,Ulcerative colitis,Follicular lymphoma,188
chr6,32587302,rs6457617,164,0.03844,1.268,HLA-DQB1,Labyrinthitis,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32587302,rs6457617,471,0.03932,1.154,HLA-DQB1,Obstructive chronic bronchitis,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32587302,rs6457617,1229,0.03944,1.11,HLA-DQB1,Infection of the eye,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32581027,rs7774434,615,0.03947,1.134,HLA-DQB1,Type 1 diabetes,Primary biliary cirrhosis,188
chr6,32587302,rs6457617,243,0.03949,1.213,HLA-DQB1,Bacterial pneumonia,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32587302,rs6457617,118,0.04008,1.318,HLA-DQB1,Type 1 diabetic neuropathy,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32587302,rs6457617,174,0.04043,1.249,HLA-DQB1,Thyroiditis,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32588871,rs10484561,153,0.04084,1.389,HLA-DQB1,Acidosis,Follicular lymphoma,188
chr6,32591353,rs2647044,116,0.0409,1.36,HLA-DQB1,Kidney replaced by transpant,"Pulmonary function, Type 1 diabetes",188
chr6,32587302,rs6457617,311,0.04099,1.183,HLA-DQB1,Psoriasis vulgaris,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32581027,rs7774434,406,0.0414,1.161,HLA-DQB1,Intestinal infection,Primary biliary cirrhosis,188
chr6,32591353,rs2647044,165,0.04225,1.299,HLA-DQB1,Myeloproliferative disease,"Pulmonary function, Type 1 diabetes",188
chr6,32588871,rs10484561,132,0.04248,1.423,HLA-DQB1,End stage renal disease,Follicular lymphoma,188
chr6,32587302,rs6457617,306,0.04255,1.189,HLA-DQB1,"Localized superficial swelling, mass, or lump","Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32588871,rs10484561,338,0.04365,1.261,HLA-DQB1,Calculus of ureter,Follicular lymphoma,188
chr6,32588871,rs10484561,270,0.04372,1.29,HLA-DQB1,Disorders of other cranial nerves,Follicular lymphoma,188
chr6,32588871,rs10484561,153,0.04382,1.391,HLA-DQB1,Barrett's esophagus,Follicular lymphoma,188
chr6,32591353,rs2647044,593,0.04413,1.171,HLA-DQB1,Intestinal obstruction without mention of hernia,"Pulmonary function, Type 1 diabetes",188
chr6,32588871,rs10484561,656,0.04448,1.198,HLA-DQB1,Disaccharide malabsorption,Follicular lymphoma,188
chr6,32591353,rs2647044,1796,0.04529,1.118,HLA-DQB1,Osteopenia,"Pulmonary function, Type 1 diabetes",188
chr6,32581027,rs7774434,1057,0.04588,1.114,HLA-DQB1,Other upper respiratory disease,Primary biliary cirrhosis,188
chr6,32581027,rs7774434,1573,0.04666,1.087,HLA-DQB1,Myalgia and myositis NOS,Primary biliary cirrhosis,188
chr6,32581027,rs7774434,1573,0.04669,1.104,HLA-DQB1,Acute sinusitis,Primary biliary cirrhosis,188
chr6,32587302,rs6457617,424,0.0468,1.172,HLA-DQB1,"Conjunctivitis, noninfectious","Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32591353,rs2647044,124,0.04722,1.331,HLA-DQB1,Urethral stricture (not specified as infectious),"Pulmonary function, Type 1 diabetes",188
chr6,32588871,rs10484561,1040,0.04724,1.148,HLA-DQB1,Bacterial infection NOS,Follicular lymphoma,188
chr6,32587302,rs6457617,8000,0.04762,1.066,HLA-DQB1,Disorders of lipoid metabolism,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32591353,rs2647044,270,0.04785,1.227,HLA-DQB1,Gastrointestinal complications,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,161,0.04806,1.301,HLA-DQB1,Intestinal malabsorption,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,455,0.04851,1.193,HLA-DQB1,"Varicose veins of lower extremity, symptomtic","Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,994,0.04888,1.136,HLA-DQB1,Diseases of nail,"Pulmonary function, Type 1 diabetes",188
chr6,32587302,rs6457617,184,0.04962,1.232,HLA-DQB1,Polyarteritis nodosa and allied conditions,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
chr6,32588871,rs10484561,439,0.04987,1.244,HLA-DQB1,Allergy/adverse effect of penicillin,Follicular lymphoma,188
chr16,57006590,rs7499892,273,3.212e-4,1.451,CETP,Polymyalgia Rheumatica,HDL Cholesterol,182
chr16,57006590,rs7499892,1725,3.472e-4,1.207,CETP,Anxiety disorder,HDL Cholesterol,182
chr16,56995236,rs1800775,110,6.579e-4,1.61,CETP,Other disorders of middle ear and mastoid,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,2477,8.134e-4,1.168,CETP,"Anxiety, phobic and dissociative disorders",HDL Cholesterol,182
chr16,56993324,rs3764261,184,0.001019,1.431,CETP,Polyarteritis nodosa and allied conditions,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57005479,rs1532624,2304,0.001075,1.157,CETP,Macular degeneration,"Cholesterol, HDL Cholesterol",182
chr16,57005479,rs1532624,3146,0.001707,1.129,CETP,Retinal disorders,"Cholesterol, HDL Cholesterol",182
chr16,56997233,rs1864163,309,0.001724,1.347,CETP,Encounter for long-term use of anticoagulants/antithrombotics,HDL Cholesterol,182
chr16,56997233,rs1864163,194,0.001755,1.413,CETP,Intracranial hemorrhage,HDL Cholesterol,182
chr16,56995236,rs1800775,184,0.002284,1.388,CETP,Polyarteritis nodosa and allied conditions,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56985139,rs9989419,188,0.002438,1.39,CETP,Somatoform disorder,HDL Cholesterol,182
chr16,57005479,rs1532624,184,0.002572,1.379,CETP,Polyarteritis nodosa and allied conditions,"Cholesterol, HDL Cholesterol",182
chr16,56985139,rs9989419,838,0.00304,1.175,CETP,Major depressive disorder,HDL Cholesterol,182
chr16,56995236,rs1800775,2304,0.003263,1.139,CETP,Macular degeneration,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56997233,rs1864163,195,0.003314,1.387,CETP,Pneumonitis due to inhalation of food or vomitus,HDL Cholesterol,182
chr16,56985139,rs9989419,300,0.003464,1.276,CETP,Staphylococcus infections,HDL Cholesterol,182
chr16,56993324,rs3764261,261,0.003523,1.327,CETP,Uveitis,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56985139,rs9989419,307,0.004174,1.284,CETP,Psychogenic and somatoform disorders,HDL Cholesterol,182
chr16,56985139,rs9989419,259,0.005616,1.28,CETP,"Infection/inflammation of internal prosthetic device, implant or graft",HDL Cholesterol,182
chr16,56985139,rs9989419,2477,0.005667,1.108,CETP,"Anxiety, phobic and dissociative disorders",HDL Cholesterol,182
chr16,57006590,rs7499892,213,0.005857,1.397,CETP,Congenital deformities of feet,HDL Cholesterol,182
chr16,56997233,rs1864163,145,0.00617,1.424,CETP,Mucous polyp of cervix,HDL Cholesterol,182
chr16,56985139,rs9989419,179,0.006514,1.337,CETP,Methicillin sensitive Staphylococcus aureus,HDL Cholesterol,182
chr16,56997233,rs1864163,192,0.006773,1.349,CETP,Hemiplegia,HDL Cholesterol,182
chr16,56985139,rs9989419,197,0.00687,1.319,CETP,Cardiac congenital anomalies,HDL Cholesterol,182
chr16,57006590,rs7499892,450,0.007138,1.284,CETP,Other specified nonpsychotic and/or transient mental disorders,HDL Cholesterol,182
chr16,56997233,rs1864163,2477,0.007204,1.116,CETP,"Anxiety, phobic and dissociative disorders",HDL Cholesterol,182
chr16,56997233,rs1864163,246,0.007271,1.327,CETP,Encounter for long-term use of aspirin,HDL Cholesterol,182
chr16,56995236,rs1800775,197,0.007505,1.319,CETP,Inflammatory bowel disease,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,2744,0.007923,1.165,CETP,Menopausal & postmenopausal disorders,HDL Cholesterol,182
chr16,56995236,rs1800775,3146,0.008095,1.107,CETP,Retinal disorders,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56985139,rs9989419,266,0.008311,1.299,CETP,Atherosclerosis of native arteries of the extremities with ulceration or gangrene,HDL Cholesterol,182
chr16,56993324,rs3764261,110,0.008919,1.432,CETP,Other disorders of middle ear and mastoid,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56997233,rs1864163,314,0.009188,1.303,CETP,Right bundle branch block,HDL Cholesterol,182
chr16,57005479,rs1532624,261,0.009703,1.273,CETP,Uveitis,"Cholesterol, HDL Cholesterol",182
chr16,57005479,rs1532624,461,0.009836,1.195,CETP,Subjective visual disturbances,"Cholesterol, HDL Cholesterol",182
chr16,57005479,rs1532624,786,0.01014,1.152,CETP,Purpura and other hemorrhagic conditions,"Cholesterol, HDL Cholesterol",182
chr16,56995236,rs1800775,706,0.01038,1.156,CETP,Swelling of limb,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,1252,0.01094,1.163,CETP,Neurological disorders due to brain damage,HDL Cholesterol,182
chr16,56997233,rs1864163,771,0.01144,1.18,CETP,Mixed hyperlipidemia,HDL Cholesterol,182
chr16,57006590,rs7499892,194,0.01147,1.374,CETP,Intracranial hemorrhage,HDL Cholesterol,182
chr16,56995236,rs1800775,379,0.01213,1.206,CETP,Vitamin B-complex deficiencies,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56993324,rs3764261,2304,0.01214,1.126,CETP,Macular degeneration,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57005479,rs1532624,502,0.01249,1.177,CETP,Pruritus and related conditions,"Cholesterol, HDL Cholesterol",182
chr16,56995236,rs1800775,249,0.01249,1.275,CETP,Blindness and low vision,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,227,0.01253,1.33,CETP,Plasma protein metabolism disorder,HDL Cholesterol,182
chr16,56995236,rs1800775,749,0.01332,1.178,CETP,Age-related macular degeneration,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56997233,rs1864163,2685,0.01336,1.117,CETP,Cardiac conduction disorders,HDL Cholesterol,182
chr16,57006590,rs7499892,155,0.01337,1.404,CETP,Asthma with exacerbation,HDL Cholesterol,182
chr16,57005479,rs1532624,709,0.01371,1.153,CETP,Viral infection,"Cholesterol, HDL Cholesterol",182
chr16,56995236,rs1800775,709,0.01376,1.152,CETP,Viral infection,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56985139,rs9989419,245,0.01415,1.254,CETP,Cardiac and circulatory congenital anomalies,HDL Cholesterol,182
chr16,57005479,rs1532624,148,0.01415,1.348,CETP,Retinal detachment with retinal defect,"Cholesterol, HDL Cholesterol",182
chr16,56997233,rs1864163,642,0.01417,1.204,CETP,Bundle branch block,HDL Cholesterol,182
chr16,57005479,rs1532624,110,0.01532,1.393,CETP,Other disorders of middle ear and mastoid,"Cholesterol, HDL Cholesterol",182
chr16,56995236,rs1800775,786,0.01533,1.142,CETP,Purpura and other hemorrhagic conditions,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57005479,rs1532624,532,0.01541,1.2,CETP,Retinal drusen,"Cholesterol, HDL Cholesterol",182
chr16,57005479,rs1532624,749,0.01663,1.172,CETP,Age-related macular degeneration,"Cholesterol, HDL Cholesterol",182
chr16,56997233,rs1864163,312,0.01664,1.245,CETP,Polyp of female genital organs,HDL Cholesterol,182
chr16,56985139,rs9989419,1950,0.0167,1.114,CETP,Atrial fibrillation,HDL Cholesterol,182
chr16,56997233,rs1864163,1304,0.01724,1.126,CETP,Abnormality of gait,HDL Cholesterol,182
chr16,57006590,rs7499892,103,0.01739,1.483,CETP,Sialoadenitis,HDL Cholesterol,182
chr16,56993324,rs3764261,706,0.01747,1.153,CETP,Swelling of limb,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56997233,rs1864163,273,0.01761,1.252,CETP,Polymyalgia Rheumatica,HDL Cholesterol,182
chr16,56997233,rs1864163,575,0.01778,1.278,CETP,Postmenopausal hormone replacement,HDL Cholesterol,182
chr16,56985139,rs9989419,464,0.01799,1.257,CETP,Excessive or frequent menstruation,HDL Cholesterol,182
chr16,57005479,rs1532624,365,0.01801,1.2,CETP,Congenital anomalies of the eye,"Cholesterol, HDL Cholesterol",182
chr16,57006590,rs7499892,796,0.01802,1.19,CETP,Dysthymic disorder,HDL Cholesterol,182
chr16,57006590,rs7499892,314,0.01813,1.313,CETP,Right bundle branch block,HDL Cholesterol,182
chr16,57005479,rs1532624,175,0.01831,1.303,CETP,"Pain, swelling or discharge of eye","Cholesterol, HDL Cholesterol",182
chr16,57006590,rs7499892,2631,0.01833,1.106,CETP,Cerebrovascular disease,HDL Cholesterol,182
chr16,57006590,rs7499892,145,0.01846,1.406,CETP,Mucous polyp of cervix,HDL Cholesterol,182
chr16,56995236,rs1800775,1425,0.01853,1.105,CETP,Eustachian tube disorders,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,192,0.01866,1.346,CETP,Hemiplegia,HDL Cholesterol,182
chr16,56997233,rs1864163,659,0.01872,1.168,CETP,Diseases of the larynx and vocal cords,HDL Cholesterol,182
chr16,56997233,rs1864163,188,0.01876,1.305,CETP,Iatrogenic hypothyroidism,HDL Cholesterol,182
chr16,56997233,rs1864163,1838,0.01877,1.106,CETP,Abnormal movement,HDL Cholesterol,182
chr16,56993324,rs3764261,492,0.01884,1.222,CETP,Hyperglyceridemia,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57006590,rs7499892,127,0.01919,1.422,CETP,Type 1 diabetic ketoacidosis,HDL Cholesterol,182
chr16,57005479,rs1532624,1425,0.02022,1.104,CETP,Eustachian tube disorders,"Cholesterol, HDL Cholesterol",182
chr16,56997233,rs1864163,137,0.02029,1.378,CETP,Cardiac arrest & ventricular fibrillation,HDL Cholesterol,182
chr16,57006590,rs7499892,205,0.02076,1.337,CETP,"Poisoning by analgesics, antipyretics, and antirheumatics",HDL Cholesterol,182
chr16,57006590,rs7499892,1014,0.02146,1.161,CETP,Painful respiration,HDL Cholesterol,182
chr16,57006590,rs7499892,160,0.02158,1.37,CETP,Heartburn,HDL Cholesterol,182
chr16,56993324,rs3764261,3146,0.02225,1.098,CETP,Retinal disorders,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56993324,rs3764261,131,0.02228,1.341,CETP,Benign neoplasm of other endocrine glands,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56993324,rs3764261,3082,0.0224,1.081,CETP,GERD,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56997233,rs1864163,404,0.02245,1.215,CETP,Abdominal aortic aneurysm,HDL Cholesterol,182
chr16,57006590,rs7499892,435,0.0226,1.243,CETP,Mental disorders due to brain damage,HDL Cholesterol,182
chr16,56985139,rs9989419,267,0.02295,1.247,CETP,Sinoatrial node dysfunction,HDL Cholesterol,182
chr16,57006590,rs7499892,2291,0.02334,1.115,CETP,Sensorineural hearing loss,HDL Cholesterol,182
chr16,56997233,rs1864163,2744,0.02362,1.122,CETP,Menopausal & postmenopausal disorders,HDL Cholesterol,182
chr16,57005479,rs1532624,1645,0.02382,1.094,CETP,Visual disturbances,"Cholesterol, HDL Cholesterol",182
chr16,56995236,rs1800775,143,0.024,1.32,CETP,Circumscribed scleroderma,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56997233,rs1864163,162,0.02428,1.321,CETP,Pulmonary congestion and hypostasis,HDL Cholesterol,182
chr16,57006590,rs7499892,204,0.02475,1.323,CETP,Paralytic ileus,HDL Cholesterol,182
chr16,57005479,rs1532624,131,0.02586,1.32,CETP,Benign neoplasm of other endocrine glands,"Cholesterol, HDL Cholesterol",182
chr16,56993324,rs3764261,544,0.02606,1.19,CETP,Primary angle-closure glaucoma,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56985139,rs9989419,576,0.02708,1.167,CETP,Cardiac pacemaker/device in situ,HDL Cholesterol,182
chr16,57006590,rs7499892,312,0.02715,1.256,CETP,Polyp of female genital organs,HDL Cholesterol,182
chr16,56995236,rs1800775,176,0.02777,1.271,CETP,Megaloblastic anemia,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,238,0.02791,1.287,CETP,Diseases of the salivary glands,HDL Cholesterol,182
chr16,56995236,rs1800775,461,0.02796,1.163,CETP,Subjective visual disturbances,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56995236,rs1800775,218,0.02818,1.237,CETP,Hyperparathyroidism,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56985139,rs9989419,135,0.02846,1.309,CETP,Diseases of the tongue,HDL Cholesterol,182
chr16,56995236,rs1800775,464,0.02894,1.163,CETP,Other open wound of head and face,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56985139,rs9989419,1184,0.02901,1.158,CETP,Disorders of menstruation,HDL Cholesterol,182
chr16,56985139,rs9989419,1725,0.02917,1.096,CETP,Anxiety disorder,HDL Cholesterol,182
chr16,57006590,rs7499892,278,0.02965,1.268,CETP,Congenital anomalies of limbs,HDL Cholesterol,182
chr16,56997233,rs1864163,796,0.03016,1.151,CETP,Dysthymic disorder,HDL Cholesterol,182
chr16,56985139,rs9989419,697,0.03041,1.133,CETP,Other local infections of skin and subcutaneous tissue,HDL Cholesterol,182
chr16,57005479,rs1532624,379,0.03049,1.176,CETP,Vitamin B-complex deficiencies,"Cholesterol, HDL Cholesterol",182
chr16,57005479,rs1532624,264,0.03057,1.227,CETP,Disorders of choroid,"Cholesterol, HDL Cholesterol",182
chr16,57006590,rs7499892,236,0.03101,1.283,CETP,Respiratory insufficiency,HDL Cholesterol,182
chr16,56997233,rs1864163,385,0.03157,1.191,CETP,Decubitus ulcer,HDL Cholesterol,182
chr16,56985139,rs9989419,241,0.03167,1.221,CETP,Osteomyelitis,HDL Cholesterol,182
chr16,56995236,rs1800775,107,0.03167,1.355,CETP,Fuchs' dystrophy,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56993324,rs3764261,1112,0.03195,1.112,CETP,Type 2 diabetic ketoacidosis,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57006590,rs7499892,195,0.03261,1.311,CETP,Pneumonitis due to inhalation of food or vomitus,HDL Cholesterol,182
chr16,57006590,rs7499892,188,0.03337,1.31,CETP,Iatrogenic hypothyroidism,HDL Cholesterol,182
chr16,57006590,rs7499892,2656,0.03349,1.098,CETP,Depression,HDL Cholesterol,182
chr16,56995236,rs1800775,2420,0.03371,1.104,CETP,Hypermetropia,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56995236,rs1800775,827,0.03373,1.173,CETP,"Macular degeneration, dry","HDL Cholesterol, Apolipoprotein A-1",182
chr16,56997233,rs1864163,842,0.0338,1.133,CETP,Fracture of unspecified bones,HDL Cholesterol,182
chr16,56997233,rs1864163,450,0.03408,1.188,CETP,Other specified nonpsychotic and/or transient mental disorders,HDL Cholesterol,182
chr16,57006590,rs7499892,659,0.03418,1.174,CETP,Diseases of the larynx and vocal cords,HDL Cholesterol,182
chr16,56993324,rs3764261,406,0.03423,1.172,CETP,Intestinal infection,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56985139,rs9989419,1001,0.03457,1.162,CETP,Irregular menstrual cycle/bleeding,HDL Cholesterol,182
chr16,57005479,rs1532624,195,0.03464,1.25,CETP,Influenza,"Cholesterol, HDL Cholesterol",182
chr16,56993324,rs3764261,268,0.03472,1.213,CETP,Melanoma,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56997233,rs1864163,227,0.03479,1.243,CETP,Plasma protein metabolism disorder,HDL Cholesterol,182
chr16,57006590,rs7499892,404,0.03495,1.226,CETP,Abdominal aortic aneurysm,HDL Cholesterol,182
chr16,57006590,rs7499892,771,0.03514,1.169,CETP,Mixed hyperlipidemia,HDL Cholesterol,182
chr16,56997233,rs1864163,972,0.0356,1.149,CETP,Hypertensive heart and/or renal disease,HDL Cholesterol,182
chr16,56993324,rs3764261,455,0.03587,1.178,CETP,Abnormal Papanicolaou smear of cervix and cervical HPV,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56985139,rs9989419,2041,0.03615,1.097,CETP,Atrial fibrillation & flutter,HDL Cholesterol,182
chr16,56995236,rs1800775,544,0.03624,1.165,CETP,Primary angle-closure glaucoma,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,404,0.03707,1.228,CETP,Disorders of conjunctiva,HDL Cholesterol,182
chr16,56993324,rs3764261,824,0.03727,1.127,CETP,Dyspepsia and disorders of function of stomach,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56997233,rs1864163,1725,0.03735,1.102,CETP,Anxiety disorder,HDL Cholesterol,182
chr16,57006590,rs7499892,1573,0.03747,1.114,CETP,Myalgia and myositis NOS,HDL Cholesterol,182
chr16,56985139,rs9989419,972,0.03778,1.131,CETP,Hypertensive heart and/or renal disease,HDL Cholesterol,182
chr16,56985139,rs9989419,2656,0.0379,1.075,CETP,Depression,HDL Cholesterol,182
chr16,56993324,rs3764261,252,0.03881,1.217,CETP,Parkinson's disease,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57005479,rs1532624,464,0.03921,1.154,CETP,Other open wound of head and face,"Cholesterol, HDL Cholesterol",182
chr16,56985139,rs9989419,353,0.03933,1.177,CETP,Curvature of spine,HDL Cholesterol,182
chr16,56995236,rs1800775,166,0.03941,1.262,CETP,Abnormal coagulation profile,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56995236,rs1800775,772,0.03969,1.117,CETP,pulmonary heart disease,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,57006590,rs7499892,642,0.0398,1.195,CETP,Bundle branch block,HDL Cholesterol,182
chr16,56997233,rs1864163,204,0.03992,1.261,CETP,Paralytic ileus,HDL Cholesterol,182
chr16,56993324,rs3764261,1625,0.04015,1.097,CETP,Acute bronchitis and bronchiolitis,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56993324,rs3764261,3548,0.04043,1.069,CETP,"Esophagitis, GERD and related diseases","HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56985139,rs9989419,127,0.04044,1.298,CETP,Renal dialysis,HDL Cholesterol,182
chr16,56985139,rs9989419,229,0.04057,1.219,CETP,Scoliosis,HDL Cholesterol,182
chr16,56985139,rs9989419,295,0.04081,1.191,CETP,Unspecified local infection of skin and subcutaneous tissue,HDL Cholesterol,182
chr16,56995236,rs1800775,912,0.0409,1.11,CETP,Open wounds of head; neck; and trunk,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56985139,rs9989419,506,0.04101,1.165,CETP,Cardiac pacemaker in situ,HDL Cholesterol,182
chr16,56997233,rs1864163,149,0.04137,1.315,CETP,Urinary obstruction,HDL Cholesterol,182
chr16,56985139,rs9989419,150,0.04152,1.268,CETP,Drug-resistant infection,HDL Cholesterol,182
chr16,56993324,rs3764261,3812,0.04191,1.067,CETP,Diseases of esophagus,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,56995236,rs1800775,261,0.04234,1.209,CETP,Uveitis,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56997233,rs1864163,2631,0.04245,1.079,CETP,Cerebrovascular disease,HDL Cholesterol,182
chr16,56993324,rs3764261,160,0.04255,1.274,CETP,Heartburn,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57006590,rs7499892,874,0.04289,1.143,CETP,Viral warts & HPV,HDL Cholesterol,182
chr16,57006590,rs7499892,309,0.04331,1.248,CETP,Encounter for long-term use of anticoagulants/antithrombotics,HDL Cholesterol,182
chr16,56995236,rs1800775,148,0.04332,1.275,CETP,Retinal detachment with retinal defect,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56997233,rs1864163,213,0.0435,1.251,CETP,Congenital deformities of feet,HDL Cholesterol,182
chr16,57005479,rs1532624,249,0.04355,1.22,CETP,Blindness and low vision,"Cholesterol, HDL Cholesterol",182
chr16,56993324,rs3764261,2205,0.04376,1.113,CETP,Hyperplasia of prostate,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57006590,rs7499892,151,0.04385,1.334,CETP,Other diseases of respiratory system,HDL Cholesterol,182
chr16,56997233,rs1864163,539,0.04461,1.153,CETP,Hyperpotassemia,HDL Cholesterol,182
chr16,56995236,rs1800775,502,0.04501,1.139,CETP,Pruritus and related conditions,"HDL Cholesterol, Apolipoprotein A-1",182
